Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Name,Team,Min,Ur,Fd,Value,Name,Fpts,Value
41866-101329,PG,Kendrick,Kendrick Nunn,Nunn,26.32,28,5800,NY@MIA,MIA,NY,,,,,Kendrick Nunn,MIA,30.6,24.03,26.32,4.537931034,Kendrick Nunn,C,C
41866-23096,SG,Evan,Evan Fournier,Fournier,26.3,28,5200,ORL@POR,ORL,POR,,,,,Evan Fournier,ORL,31.3,22.75,26.3,5.057692308,Evan Fournier,C,A
41866-40562,SG,Josh,Josh Hart,Hart,25.92,22,4800,NO@GS,NO,GS,,,,,Josh Hart,NO,30.2,16.93,25.92,5.4,Josh Hart,C,B
41866-84679,PF,Marvin,Marvin Bagley,Bagley,25.89,5,5100,SAC@IND,SAC,IND,,,,0,Marvin Bagley,SAC,22.8,26.89,25.89,5.076470588,Marvin Bagley,C,A
41866-12351,PF,Derrick,Derrick Favors,Favors,25.89,13,5600,NO@GS,NO,GS,,,,0,Derrick Favors,NO,22,16.63,25.89,4.623214286,Derrick Favors,C,B
41866-23447,PF,Richaun,Richaun Holmes,Holmes,25.75,27,5300,SAC@IND,SAC,IND,,,,0,Richaun Holmes,SAC,25.8,14.75,25.75,4.858490566,Richaun Holmes,C,B
41866-15846,SF,Tim,Tim Hardaway,Hardaway,25.67,27,4900,DAL@PHI,DAL,PHI,,,,,Tim Hardaway,DAL,30.5,26.4,25.67,5.23877551,Tim Hardaway,C,A
41866-16448,PF,Frank,Frank Kaminsky,Kaminsky,25.48,27,5300,PHO@OKC,PHO,OKC,,,,,Frank Kaminsky,PHO,27.5,19.97,25.48,4.80754717,Frank Kaminsky,C,C
41866-15800,SF,Jae,Jae Crowder,Crowder,25.47,27,4400,MEM@CLE,MEM,CLE,,,,0,Jae Crowder,MEM,31.4,14.78,25.47,5.788636364,Jae Crowder,C,A
41866-55056,PF,Dario,Dario Saric,Saric,25.38,27,4600,PHO@OKC,PHO,OKC,,,,,Dario Saric,PHO,31,17.04,25.38,5.517391304,Dario Saric,C,A
41866-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,25.11,19,3600,WAS@TOR,TOR,WAS,,,,,Rondae Hollis-Jefferson,TOR,26.2,18.55,25.11,6.975,Rondae Hollis-Jefferson,C,A
41866-84694,SG,Bruce,Bruce Brown,Brown,24.88,28,4500,DET@BOS,DET,BOS,,,,,Bruce Brown,DET,30.4,17.64,24.88,5.528888889,Bruce Brown,C,A
41866-110357,SG,RJ,RJ Barrett,Barrett,24.71,27,5300,NY@MIA,NY,MIA,,,,,RJ Barrett,NY,31.5,22.93,24.71,4.662264151,RJ Barrett,C,A
41866-60233,SG,Dillon,Dillon Brooks,Brooks,24.54,28,5000,MEM@CLE,MEM,CLE,,,,,Dillon Brooks,MEM,27.8,21.65,24.54,4.908,Dillon Brooks,C,A
41866-9655,SG,JJ,JJ Redick,Redick,24.52,27,5200,NO@GS,NO,GS,,,,,JJ Redick,NO,30.6,19.65,24.52,4.715384615,JJ Redick,C,C
41866-23823,C,Willie,Willie Cauley-Stein,Cauley-Stein,24.36,26,4800,NO@GS,GS,NO,,,,0,Willie Cauley-Stein,GS,23.3,15.7,24.36,5.075,Willie Cauley-Stein,C,A
41866-80806,PG,Lonzo,Lonzo Ball,Ball,23.46,21,5300,NO@GS,NO,GS,,,,0,Lonzo Ball,NO,25.3,19.15,23.46,4.426415094,Lonzo Ball,C,B
41866-9729,PF,Paul,Paul Millsap,Millsap,23.24,24,5000,MIN@DEN,DEN,MIN,,,,0,Paul Millsap,DEN,24,20.01,23.24,4.648,Paul Millsap,C,A
41866-81529,PF,Daniel,Daniel Theis,Theis,23.04,22,4400,DET@BOS,BOS,DET,,,,0,Daniel Theis,BOS,22.5,13.71,23.04,5.236363636,Daniel Theis,C,A
41866-80805,PG,Markelle,Markelle Fultz,Fultz,23.02,27,4700,ORL@POR,ORL,POR,,,,0,Markelle Fultz,ORL,28.1,19.91,23.02,4.89787234,Markelle Fultz,C,A
41866-24544,SG,Gary,Gary Harris,Harris,22.77,26,4600,MIN@DEN,DEN,MIN,,,,0,Gary Harris,DEN,33.5,15.06,22.77,4.95,Gary Harris,C,B
41866-20640,SG,Jordan,Jordan Clarkson,Clarkson,22.19,28,4300,MEM@CLE,CLE,MEM,,,,0,Jordan Clarkson,CLE,23,25.85,22.19,5.160465116,Jordan Clarkson,C,A
41866-84668,SF,Troy,Troy Brown,Brown,21.8,23,5200,WAS@TOR,WAS,TOR,,,,0,Troy Brown,WAS,26,16.27,21.8,4.192307692,Troy Brown,C,B
41866-55060,SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,21.4,25,4600,SAC@IND,SAC,IND,GTD,Ankle,,0,Bogdan Bogdanovic,SAC,27.1,21.64,21.4,4.652173913,Bogdan Bogdanovic,C,A
41866-15946,SF,Harrison,Harrison Barnes,Barnes,21.2,27,4700,SAC@IND,SAC,IND,,,,0,Harrison Barnes,SAC,33,17.7,21.2,4.510638298,Harrison Barnes,C,A
41866-9953,C,Ian,Ian Mahinmi,Mahinmi,21.16,6,4300,WAS@TOR,WAS,TOR,,,,0,Ian Mahinmi,WAS,23.5,17.54,21.16,4.920930233,Ian Mahinmi,C,A
41866-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,19.99,27,4800,SAC@IND,SAC,IND,,,,0,Nemanja Bjelica,SAC,24.8,14.75,19.99,4.164583333,Nemanja Bjelica,C,B
41866-84719,PG,Aaron,Aaron Holiday,Holiday,23.7,26,4300,SAC@IND,IND,SAC,,,,0,,,,,,,,,
