Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41852-8402,W,Dustin,Dustin Brown,Brown,11.6285,36,5500,LA@CBJ,LA,CBJ,,,,,1
41852-65969,C,Dylan,Dylan Strome,Strome,9.18913,31,5000,CHI@WPG,CHI,WPG,,,,,2
41852-41390,C,Elias,Elias Lindholm,Lindholm,11.2098,36,5600,MON@CGY,CGY,MON,,,,,2
41852-84409,C,Elias,Elias Pettersson,Pettersson,8.91353,35,7400,VGK@VAN,VAN,VGK,,,,,2
41852-82852,W,Eric,Eric Robinson,Robinson,5.70713,14,3100,LA@CBJ,CBJ,LA,,,,,2
41852-8234,C,Eric,Eric Staal,Staal,10.4927,35,6600,MIN@ARI,MIN,ARI,,,,,1
41852-84116,D,Erik,Erik Brannstrom,Brannstrom,8.60353,25,3500,NSH@OTT,OTT,NSH,,,,,2
41852-66643,D,Erik,Erik Cernak,Cernak,6.64813,29,3700,DAL@TB,TB,DAL,,,,,2
41852-62492,D,Erik,Erik Gustafsson,Gustafsson,9.9444,34,4400,CHI@WPG,CHI,WPG,,,,,2
41852-54575,D,Esa,Esa Lindell,Lindell,6.12887,35,3700,DAL@TB,DAL,TB,,,,,1
41852-62445,C,Evan,Evan Rodrigues,Rodrigues,9.24427,19,3000,BUF@PHI,BUF,PHI,,,,,3
41852-39253,W,Filip,Filip Forsberg,Forsberg,11.7447,27,7300,NSH@OTT,NSH,OTT,,,,,2
41852-11401,W,Gabriel,Gabriel Bourque,Bourque,4.5698,20,3100,CHI@WPG,WPG,CHI,,,,,3
41852-14697,W,Gabriel,Gabriel Landeskog,Landeskog,10.3559,18,7100,CAR@COL,COL,CAR,,,,,2
41852-13982,W,Gustav,Gustav Nyquist,Nyquist,11.4805,34,5700,LA@CBJ,CBJ,LA,,,,,1
41852-11254,D,Ian,Ian Cole,Cole,6.22567,29,3800,CAR@COL,COL,CAR,,,,,2
41852-84404,D,Ilya,Ilya Lyubushkin,Lyubushkin,6.22487,23,3500,MIN@ARI,ARI,MIN,,,,,1
41852-66511,DD,Ivan,Ivan Provorov,Provorov,11.4229,34,5600,BUF@PHI,PHI,BUF,,,,,1
41852-66734,C,J.C.,J.C. Beaudin,Beaudin,5.2866,17,3000,NSH@OTT,OTT,NSH,,,,0,4
41852-15360,W,J.T.,J.T. Miller,Miller,9.31767,35,5900,VGK@VAN,VAN,VGK,,,,,2
41852-66680,D,Jaccob,Jaccob Slavin,Slavin,6.3458,34,4100,CAR@COL,CAR,COL,,,,,1
41852-12619,G,Jack,Jack Campbell,Campbell,18.6288,12,7300,LA@CBJ,LA,CBJ,,,,0,
41852-64100,C,Jack,Jack Eichel,Eichel,12.0837,35,8900,BUF@PHI,BUF,PHI,,,,,1
41852-74047,W,Jack,Jack Roslovic,Roslovic,7.68687,34,3800,CHI@WPG,WPG,CHI,,,,,2
41852-12283,G,Jacob,Jacob Markstrom,Markstrom,17.0907,23,7600,VGK@VAN,VAN,VGK,,,,,
41852-66601,W,Jake,Jake DeBrusk,DeBrusk,9.2986,30,5700,NYI@BOS,BOS,NYI,,,,,2
41852-12952,D,Jake,Jake Gardiner,Gardiner,5.9458,34,3800,CAR@COL,CAR,COL,,,,,3
41852-54481,D,Jake,Jake McCabe,McCabe,6.40813,33,3500,BUF@PHI,BUF,PHI,,,,,2
41852-59413,W,Jake,Jake Virtanen,Virtanen,8.87047,35,3700,VGK@VAN,VAN,VGK,,,,,3
41852-70914,D,Jakob,Jakob Chychrun,Chychrun,8.73173,36,3700,MIN@ARI,ARI,MIN,,,,,2
41852-8303,W,Jakub,Jakub Voracek,Voracek,9.373,34,5700,BUF@PHI,PHI,BUF,,,,,3
41852-9052,G,James,James Reimer,Reimer,16.6677,13,7600,CAR@COL,CAR,COL,,,,,
41852-8797,W,James,James van Riemsdyk,van Riemsdyk,13.576,34,4400,BUF@PHI,PHI,BUF,,,,,2
41852-8986,W,Jamie,Jamie Benn,Benn,10.4905,35,6000,DAL@TB,DAL,TB,,,,,1
41852-15293,D,Jamie,Jamie Oleksiak,Oleksiak,5.68607,35,3600,DAL@TB,DAL,TB,,,,,2
41852-80561,D,Jan,Jan Rutta,Rutta,8.11507,15,3500,DAL@TB,TB,DAL,,,,,1
41852-12812,D,Jared,Jared Spurgeon,Spurgeon,7.41053,28,4700,MIN@ARI,MIN,ARI,,,,,1
41852-54822,C,Jason,Jason Dickinson,Dickinson,4.24933,31,3200,DAL@TB,DAL,TB,,,,0,4
41852-9014,C,Jay,Jay Beagle,Beagle,4.8556,26,3100,VGK@VAN,VAN,VGK,,,,0,4
41852-15287,C,Jean-Gabriel,Jean-Gabriel Pageau,Pageau,11.1298,35,5400,NSH@OTT,OTT,NSH,,,,,1
41852-8555,W,Jeff,Jeff Carter,Carter,9.57447,36,5300,LA@CBJ,LA,CBJ,,,,,2
41852-11201,D,Jeff,Jeff Petry,Petry,10.5526,34,4100,MON@CGY,MON,CGY,,,,,2
41852-12439,W,Jeff,Jeff Skinner,Skinner,11.6363,35,6300,BUF@PHI,BUF,PHI,,,,,3
41852-73826,W,Jimmy,Jimmy Vesey,Vesey,9.758,32,3500,BUF@PHI,BUF,PHI,,,,,2
41852-23051,W,Joakim,Joakim Nordstrom,Nordstrom,4.5476,24,3200,NYI@BOS,BOS,NYI,,,,0,4
41852-62158,D,Joakim,Joakim Ryan,Ryan,6.68247,23,3500,LA@CBJ,LA,CBJ,,,,,1
41852-8615,W,Joe,Joe Pavelski,Pavelski,7.6696,35,5400,DAL@TB,DAL,TB,,,,,2
41852-42983,W,Joel,Joel Armia,Armia,9.681,32,4800,MON@CGY,MON,CGY,,,,,2
41852-15340,D,Joel,Joel Edmundson,Edmundson,6.9622,34,3600,CAR@COL,CAR,COL,,,,,2
41852-14462,C,Johan,Johan Larsson,Larsson,5.52393,32,3600,BUF@PHI,BUF,PHI,,,,0,4
41852-14457,DD,John,John Klingberg,Klingberg,8.75713,28,5500,DAL@TB,DAL,TB,,,,,1
41852-8838,D,Johnny,Johnny Boychuk,Boychuk,7.51127,31,3500,NYI@BOS,NYI,BOS,,,,,1
41852-54514,W,Johnny,Johnny Gaudreau,Gaudreau,12.7955,36,7800,MON@CGY,CGY,MON,,,,,1
41852-41591,D,Jon,Jon Merrill,Merrill,5.75013,33,3500,VGK@VAN,VGK,VAN,,,,0,
41852-23438,D,Jonas,Jonas Brodin,Brodin,5.51607,35,3900,MIN@ARI,MIN,ARI,,,,,2
41852-37968,W,Jonathan,Jonathan Marchessault,Marchessault,13.2791,37,7000,VGK@VAN,VGK,VAN,,,,,1
41852-8254,C,Jonathan,Jonathan Toews,Toews,11.2957,35,6600,CHI@WPG,CHI,WPG,,,,,1
41852-116950,W,Joona,Joona Luoto,Luoto,4.54553,15,3000,CHI@WPG,WPG,CHI,,,,0,4
41852-62783,W,Joonas,Joonas Donskoi,Donskoi,7.77533,34,4600,CAR@COL,COL,CAR,,,,,2
41852-54065,G,Joonas,Joonas Korpisalo,Korpisalo,19.8027,27,7600,LA@CBJ,CBJ,LA,,,,,
41852-9025,W,Jordan,Jordan Eberle,Eberle,9.13607,22,5400,NYI@BOS,NYI,BOS,,,,,3
41852-82851,W,Jordan,Jordan Greenway,Greenway,5.77013,33,3800,MIN@ARI,MIN,ARI,,,,,3
41852-43008,W,Jordan,Jordan Martinook,Martinook,5.5236,19,3200,CAR@COL,CAR,COL,,,,0,4
41852-54457,D,Jordan,Jordan Oesterle,Oesterle,5.07373,28,3500,MIN@ARI,ARI,MIN,,,,0,3
41852-8596,C,Jordan,Jordan Staal,Staal,10.2875,34,5000,CAR@COL,CAR,COL,,,,,1
41852-12625,W,Jordan,Jordan Weal,Weal,7.94987,26,3100,MON@CGY,MON,CGY,,,,,3
41852-15380,D,Jordie,Jordie Benn,Benn,4.71447,35,3500,VGK@VAN,VAN,VGK,,,,0,3
41852-8495,W,Josh,Josh Bailey,Bailey,7.79507,32,5100,NYI@BOS,NYI,BOS,,,,,1
41852-15255,W,Josh,Josh Leivo,Leivo,8.90333,35,3800,VGK@VAN,VAN,VGK,,,,,1
41852-42981,D,Josh,Josh Morrissey,Morrissey,8.9518,32,4000,CHI@WPG,WPG,CHI,,,,,1
41852-11410,D,Justin,Justin Braun,Braun,7.13493,34,3600,BUF@PHI,PHI,BUF,,,,,2
