Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Min Deviation,Max Deviation,Min Exposure,Max Exposure,Name,Min,Ur,Fd,Value
41843-110355,SF,Mfiondu,Mfiondu Kabengele,Kabengele,4.322222392,9,3500,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-23589,SG,Michael,Michael Frazier,Frazier,0,0,3500,HOU@LAC,HOU,LAC,,,,,,,0,,,,,
41843-9575,PG,Mike,Mike Conley,Conley,26.35,22,4800,UTA@ATL,UTA,ATL,O,Hamstring,,,,,0,,,,,
41843-110324,SG,Miye,Miye Oni,Oni,0.066666668,3,3500,UTA@ATL,UTA,ATL,,,,,,,0,,,,,
41843-9512,C,,Nene,Nene,10.13333348,42,3500,HOU@LAC,HOU,LAC,O,Hip,,,,,0,,,,,
41843-110354,PF,Nicolas,Nicolas Claxton,Claxton,9.10000017,9,3500,BKN@SA,BKN,SA,O,Hamstring,,,,,0,,,,,
41843-111620,PG,Nigel,Nigel Williams-Goss,Williams-Goss,1.342857088,7,3500,UTA@ATL,UTA,ATL,,,,,,,0,,,,,
41843-15993,SG,Pat,Pat Connaughton,Connaughton,14.18461492,26,3500,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-12340,PF,Patrick,Patrick Patterson,Patterson,10.71538485,26,3500,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-9939,PG,Patty,Patty Mills,Mills,21.21,26,3900,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-15582,PG,Quinn,Quinn Cook,Cook,8.880000305,20,3500,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-110348,SG,Quinndary,Quinndary Weatherspoon,Weatherspoon,0,0,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-9873,C,Robin,Robin Lopez,Lopez,10.84999956,28,3600,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-84700,PF,Rodions,Rodions Kurucs,Kurucs,6.450000127,12,3500,BKN@SA,BKN,SA,,,,,,,0,,,,,
41843-15744,SG,Rodney,Rodney McGruder,McGruder,10.4333335,18,3900,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-40262,SG,Sterling,Sterling Brown,Brown,14.425,20,3500,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,1.5,1,3500,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-110315,SG,Terance,Terance Mann,Mann,6.318181818,22,3500,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-9647,SF,Thabo,Thabo Sefolosha,Sefolosha,6.913636641,22,3500,HOU@LAC,HOU,LAC,,,,,,,0,,,,,
41843-111372,SF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,4.320000076,5,3500,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-85521,SG,Theo,Theo Pinson,Pinson,10.88888889,18,3500,BKN@SA,BKN,SA,,,,,,,0,,,,,
41843-70825,SG,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,6.419999695,5,3500,BKN@SA,BKN,SA,,,,,,,0,,,,,
41843-80823,C,Tony,Tony Bradley,Bradley,10.11666701,18,3500,UTA@ATL,UTA,ATL,,,,,,,0,,,,,
41843-58461,PF,Trey,Trey Lyles,Lyles,14.19615408,26,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-20805,SG,Troy,Troy Daniels,Daniels,7.695238386,21,3500,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-9473,C,Tyson,Tyson Chandler,Chandler,7.155555725,18,3500,HOU@LAC,HOU,LAC,,,,,,,0,,,,,
41843-9654,SF,Vince,Vince Carter,Carter,11.16956495,23,3700,UTA@ATL,ATL,UTA,,,,,,,0,,,,,
41843-9799,SG,Wesley,Wesley Matthews,Matthews,13.98928615,28,3600,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-9636,SF,Wilson,Wilson Chandler,Chandler,16.70000076,2,3500,BKN@SA,BKN,SA,,,,,,,0,,,,,
